,0
0,1386.3556887518332
1,1315.9265088403745
2,492.9567721992447
3,858.7933847634181
4,1269.8998669399548
5,1465.465172782819
6,668.1799873946877
7,435.603187003876
8,1507.287522187634
9,398.352805091704
10,1813.1296129341001
11,704.1923160507979
12,1473.3659586477588
13,684.5707579309961
14,1810.3109313179784
15,1048.938402303753
16,1382.1203181216797
17,1025.1006372421125
18,903.2877806877538
19,2001.8458136886193
20,2290.0684153061957
21,673.9817796974246
22,1291.540433611461
23,400.68644515706967
24,1144.1315724286312
25,1057.8117057972056
26,772.9559788797978
27,704.9225755879015
28,1579.0882267095503
29,1024.2941166014607
30,528.08443873188
31,1568.0711764699577
32,1769.0054082011106
33,1041.4973643625453
34,1115.3979893881583
35,814.0902848822722
36,693.6604268350414
37,482.32268455208964
38,1299.835726368155
39,279.41178956931566
40,1692.3563079567957
41,559.8534975893376
42,769.8995499627595
43,2090.2539394766222
44,544.3965613965312
45,1024.2941166014607
46,1680.9374798315494
47,262.32330378272496
48,986.5810006111994
49,1433.921484412513
50,1407.1229737807307
51,592.9119176317957
52,780.7939557438486
53,1024.5504033104828
54,626.1645714932397
55,1201.5469726003853
56,262.32330378272496
57,1070.7104978799903
58,953.7855762735912
59,858.7933847634181
60,1217.0616719591626
61,893.0919191720664
62,388.8269765914704
63,592.4021009298682
64,284.92693999180955
65,1805.5888578246334
66,547.7111715873259
67,874.6008046526357
68,1140.6331756958841
69,2422.1482227132656
70,2319.3366545703893
71,987.7546998691921
72,499.64191808165765
73,821.1148044595284
74,430.99989470419246
75,386.67750609443635
76,753.004089702367
77,1508.2596293032866
78,1306.2696494674171
79,1527.1236345526743
80,1248.2624938677411
81,498.6589106314719
82,303.88682162822965
83,800.592004945031
84,272.55422799578287
85,1583.5613224321073
86,490.171538712965
87,1832.481109636195
88,874.4009026327556
89,932.9880726911613
90,1953.3509359993318
91,3370.090245118255
92,874.4009026327556
93,755.6341216150913
94,1068.503836358742
95,378.05600694620534
96,1160.7380670571085
97,665.6422320792781
98,706.7388502121173
99,1083.0501711441036
100,376.5791868166945
101,540.7282445846903
102,784.8615278566903
103,1872.7154697526826
104,868.1934318694997
105,684.5707579309961
106,1095.751877188418
107,663.4533679904264
108,1159.4731092722286
109,323.60961122578306
110,1560.5911283943121
111,1125.572398469124
112,1138.2692788744491
113,2376.6315107047376
114,274.9558866900209
115,1925.3367136132138
116,1310.7710384112115
117,1888.9272088691396
118,772.2989714740154
119,790.7130220686897
120,3604.618520228782
121,1098.7089877883625
122,842.0673992875102
123,1120.4586001029868
124,871.1610248469306
125,444.13341709155463
126,1213.2965246232507
127,803.3761660349111
128,1916.5105094990558
129,1304.968067076779
130,1650.6834620105917
131,528.08443873188
132,1135.4391188670088
133,1382.4711041303278
134,1052.3580684309757
135,423.1453630786841
136,1795.7536315424031
137,400.1985020193972
138,1419.851540819331
139,429.53447360084624
140,508.8973031689545
141,1157.1663823784843
142,1284.6200207667662
143,788.4862469179847
144,1024.2941166014607
145,1868.9885628425382
146,1797.507575038599
147,414.4504686897607
148,518.2502675603707
149,887.6406427792933
150,1796.5703077824987
151,657.2796202902009
152,236.920470244276
153,1751.2932882560367
154,1309.557140629412
155,1655.8121962025775
156,1382.4711041303278
157,1039.874047020286
158,979.7452941902766
159,312.81841219007174
160,1469.2225369993648
161,837.7914917934315
162,964.9915371477431
163,1914.8278862444981
164,4298.153509972792
165,1138.7379550734624
166,1916.7936236000996
167,736.5114525334591
168,697.4213695857829
169,741.4558121146684
170,363.0970006499725
171,2166.8310264306338
172,935.5666561572868
173,1508.7413955846082
174,738.1690042444058
175,345.53113865671776
176,297.4765164115394
177,691.4814572180867
178,1744.1324118414182
179,1165.0355946453049
180,582.8002510240948
181,1020.2714204097304
182,710.9844199255606
183,991.4403011129241
184,857.4060390768249
185,642.192209571518
186,771.6236327148313
187,1501.6622469988017
188,2186.57020899387
189,705.3667598685461
190,1078.3478132685973
191,381.70359447524504
192,957.273500647957
193,864.8376245582824
194,932.1033336929679
195,793.4914284815889
196,239.56253268330812
197,589.234922913092
198,933.2677576500553
199,1787.4499704585937
200,1030.7754076874176
201,790.2736862616256
202,702.7407866937012
203,863.3667303947104
204,980.7081064547895
205,445.69204074774314
206,716.8790706403292
207,1940.1338024410077
208,885.8324411773586
209,559.2606301228037
210,554.4307581378022
211,1541.6945701704294
212,1153.2612243198296
213,592.730126974907
214,364.3175169162054
215,1194.4864224730873
216,1229.787450895097
217,1281.350397063649
218,966.8508034370761
219,429.8270966270121
220,2321.953108353151
221,1321.2320241219097
222,1509.7205895638822
223,817.0134171634112
224,1266.314143515102
225,1517.3455372473115
226,1128.9236068778341
227,460.81967640106166
228,1007.760892764689
229,415.7891763848496
230,1226.0255067790295
231,1590.3466835076197
232,986.5810006111994
233,1165.6800979001302
234,1123.9466158049988
235,818.2756116118811
236,774.9645165236776
237,768.3538287491542
238,1751.2635761376976
239,836.4763043819399
240,1379.237878008326
241,2018.1622393241432
242,1925.504909010584
243,2465.446297025184
244,1770.563878006975
245,433.36913682952206
246,874.010211854164
247,363.82025876926315
248,1093.2710163522136
249,551.5804423379956
250,393.94707298453056
251,1859.1923667602828
252,1218.701367677414
253,887.0949861956186
254,281.76326560535523
255,1888.3471275290958
256,1407.496479065871
257,1162.772618901301
258,3398.2580689551705
259,1559.4924311892682
260,1218.701367677414
